unix_time,datetime,cpu_usage_percent,temperature_c,cpu_freq_mhz
1520605617.078117,2018-03-09 14:26:57,23.32,37.5,1900.0
1520605618.0794265,2018-03-09 14:26:58,0.0,36.95,1500.0
1520605619.0806792,2018-03-09 14:26:59,0.0,36.4,1500.0
1520605620.0819087,2018-03-09 14:27:00,0.0,36.95,1500.0
1520605621.0831258,2018-03-09 14:27:01,0.0,36.95,1500.0
1520605622.0843637,2018-03-09 14:27:02,0.0,36.95,1500.0
1520605623.085571,2018-03-09 14:27:03,0.0,36.4,1500.0
1520605624.0867755,2018-03-09 14:27:04,0.0,37.5,1500.0
1520605625.087988,2018-03-09 14:27:05,6.0,38.05,1500.0
1520605626.0893574,2018-03-09 14:27:06,51.63,38.6,2400.0
1520605627.0907428,2018-03-09 14:27:07,56.25,39.7,2400.0
1520605628.0925245,2018-03-09 14:27:08,45.25,40.25,2400.0
1520605629.0955663,2018-03-09 14:27:09,46.1,41.9,2400.0
1520605630.0987184,2018-03-09 14:27:10,45.39,41.35,2400.0
1520605631.1016889,2018-03-09 14:27:11,41.15,41.35,2400.0
1520605632.1030827,2018-03-09 14:27:12,47.16,40.8,1500.0
1520605633.1044981,2018-03-09 14:27:13,59.25,41.9,1500.0
1520605634.1059604,2018-03-09 14:27:14,55.28,41.9,2400.0
1520605635.1075096,2018-03-09 14:27:15,44.86,42.45,2400.0
1520605636.1103237,2018-03-09 14:27:16,50.12,43.0,2400.0
1520605637.1128917,2018-03-09 14:27:17,43.0,43.0,2400.0
1520605638.1142879,2018-03-09 14:27:18,40.66,42.45,1500.0
1520605639.1158347,2018-03-09 14:27:19,48.24,41.35,1500.0
1520605640.1172633,2018-03-09 14:27:20,53.75,42.45,1500.0
1520605641.118694,2018-03-09 14:27:21,55.39,43.0,2400.0
1520605642.1202183,2018-03-09 14:27:22,48.12,43.0,2400.0
1520605643.124344,2018-03-09 14:27:23,50.62,44.65,2400.0
1520605644.124922,2018-03-09 14:27:24,44.75,42.45,2400.0
1520605645.1271236,2018-03-09 14:27:25,40.1,43.0,2400.0
1520605646.128538,2018-03-09 14:27:26,47.26,42.45,1500.0
1520605647.1299891,2018-03-09 14:27:27,55.97,42.45,1500.0
1520605648.1314263,2018-03-09 14:27:28,56.47,44.65,2400.0
1520605649.133096,2018-03-09 14:27:29,46.37,44.65,2400.0
1520605650.136918,2018-03-09 14:27:30,48.23,45.2,2400.0
1520605651.1384647,2018-03-09 14:27:31,47.25,45.75,2400.0
1520605652.1401243,2018-03-09 14:27:32,44.25,44.65,2400.0
1520605653.1408947,2018-03-09 14:27:33,43.95,44.1,2400.0
1520605654.14232,2018-03-09 14:27:34,46.75,42.45,1500.0
1520605655.1437416,2018-03-09 14:27:35,56.0,43.55,1500.0
1520605656.1449013,2018-03-09 14:27:36,57.04,45.75,2400.0
1520605657.146458,2018-03-09 14:27:37,44.36,46.85,2400.0
1520605658.1490395,2018-03-09 14:27:38,49.38,45.75,2400.0
1520605659.1557062,2018-03-09 14:27:39,46.04,44.65,2400.0
1520605660.1597977,2018-03-09 14:27:40,41.81,45.2,2400.0
1520605661.1608915,2018-03-09 14:27:41,44.61,43.55,1500.0
1520605662.1623108,2018-03-09 14:27:42,57.54,44.1,1500.0
1520605663.1637497,2018-03-09 14:27:43,52.72,45.2,2400.0
1520605664.1651032,2018-03-09 14:27:44,43.36,45.75,2400.0
1520605665.1690123,2018-03-09 14:27:45,51.74,46.85,2400.0
1520605666.1709332,2018-03-09 14:27:46,45.75,45.75,2400.0
1520605667.1723044,2018-03-09 14:27:47,41.1,45.2,2400.0
1520605668.1737385,2018-03-09 14:27:48,47.38,44.1,1500.0
1520605669.1751666,2018-03-09 14:27:49,56.61,44.65,1500.0
1520605670.1766274,2018-03-09 14:27:50,55.97,45.75,2400.0
1520605671.1782408,2018-03-09 14:27:51,45.02,45.75,2400.0
1520605672.1807857,2018-03-09 14:27:52,49.0,45.75,2400.0
1520605673.1825027,2018-03-09 14:27:53,44.39,46.3,2400.0
1520605674.1839147,2018-03-09 14:27:54,41.46,45.2,1500.0
1520605675.185453,2018-03-09 14:27:55,47.15,44.65,1500.0
1520605676.1868846,2018-03-09 14:27:56,54.98,44.1,1500.0
1520605677.1883,2018-03-09 14:27:57,54.41,46.3,2400.0
1520605678.1890829,2018-03-09 14:27:58,45.02,46.85,2400.0
1520605679.1926825,2018-03-09 14:27:59,51.24,46.85,2400.0
1520605680.1949923,2018-03-09 14:28:00,46.4,46.85,2400.0
1520605681.1963787,2018-03-09 14:28:01,43.61,46.3,2400.0
1520605682.1978543,2018-03-09 14:28:02,42.89,45.75,1900.0
1520605683.2001538,2018-03-09 14:28:03,49.63,45.2,1500.0
1520605684.2015722,2018-03-09 14:28:04,55.5,45.2,1500.0
1520605685.2030103,2018-03-09 14:28:05,53.12,46.3,2400.0
1520605686.204586,2018-03-09 14:28:06,45.23,45.75,2400.0
1520605687.2073169,2018-03-09 14:28:07,50.75,47.4,2400.0
1520605688.20877,2018-03-09 14:28:08,44.17,45.2,2400.0
1520605689.2101662,2018-03-09 14:28:09,41.9,45.2,2200.0
1520605690.2116466,2018-03-09 14:28:10,50.25,45.2,1500.0
1520605691.2130656,2018-03-09 14:28:11,55.33,44.1,2100.0
1520605692.2144463,2018-03-09 14:28:12,53.88,46.3,2400.0
1520605693.216065,2018-03-09 14:28:13,46.15,46.85,2400.0
1520605694.219517,2018-03-09 14:28:14,51.49,46.85,2400.0
1520605695.2214181,2018-03-09 14:28:15,46.78,46.85,2400.0
1520605696.223375,2018-03-09 14:28:16,41.85,46.3,2400.0
1520605697.2249582,2018-03-09 14:28:17,43.5,44.1,1700.0
1520605698.227642,2018-03-09 14:28:18,52.13,45.2,1500.0
1520605699.2290628,2018-03-09 14:28:19,55.84,46.3,2300.0
1520605700.2305827,2018-03-09 14:28:20,49.0,46.3,2400.0
1520605701.2345166,2018-03-09 14:28:21,49.12,47.4,2400.0
1520605702.2396474,2018-03-09 14:28:22,46.29,46.85,2400.0
1520605703.2447538,2018-03-09 14:28:23,40.7,45.75,2400.0
1520605704.246203,2018-03-09 14:28:24,42.75,45.2,1800.0
1520605705.2476954,2018-03-09 14:28:25,52.9,45.2,1500.0
1520605706.248995,2018-03-09 14:28:26,56.28,45.75,2400.0
1520605707.2507982,2018-03-09 14:28:27,45.96,46.3,2400.0
1520605708.2553277,2018-03-09 14:28:28,51.61,47.4,2100.0
1520605709.2569377,2018-03-09 14:28:29,43.83,46.85,2400.0
1520605710.2592318,2018-03-09 14:28:30,40.3,45.2,2400.0
1520605711.2606463,2018-03-09 14:28:31,49.25,44.1,1500.0
1520605712.2620819,2018-03-09 14:28:32,55.86,46.85,2300.0
1520605713.263598,2018-03-09 14:28:33,55.16,47.4,2400.0
1520605714.2674255,2018-03-09 14:28:34,44.91,47.4,2400.0
1520605715.2701404,2018-03-09 14:28:35,49.13,47.4,2400.0
1520605716.2730343,2018-03-09 14:28:36,45.5,45.75,2400.0
1520605717.2799096,2018-03-09 14:28:37,41.54,46.3,2400.0
1520605718.2813528,2018-03-09 14:28:38,50.25,45.2,1500.0
1520605719.2827766,2018-03-09 14:28:39,56.75,45.75,1500.0
1520605720.284455,2018-03-09 14:28:40,53.13,47.4,2400.0
1520605721.2885017,2018-03-09 14:28:41,45.61,46.85,2400.0
1520605722.2900784,2018-03-09 14:28:42,50.0,47.4,2400.0
1520605723.2914493,2018-03-09 14:28:43,44.5,47.4,2400.0
1520605724.2928455,2018-03-09 14:28:44,42.68,46.85,2400.0
1520605725.2942953,2018-03-09 14:28:45,47.99,45.75,1500.0
1520605726.2957244,2018-03-09 14:28:46,56.03,45.2,1500.0
1520605727.2969003,2018-03-09 14:28:47,55.61,47.95,2400.0
1520605728.2984028,2018-03-09 14:28:48,43.64,47.4,2400.0
1520605729.3009293,2018-03-09 14:28:49,48.49,47.4,2400.0
